Sõna,Sõnaliik,Muuttüüp
kategooriliselt,D,-
kategoriaalne,A,2
kategoriseerima,V,28
kate,S,6
katekismus,"S,S","11,9"
katel,S,8
katelok,S,22
katend,S,2
Kati,H,16
katik,S,2
katioonne,A,2
katis,S,9
Katja,H,16
katjuuša,S,16
katke,S,6
katkeline,A,12
katkeliselt,D,-
katkematu,A,1
katkematult,D,-
katkematus,"S,S","11,9"
katkema,V,27
katkemine,S,12
katkend,S,2
katkendlik,A,25
katkendlikkus,S,11
katkendlikult,D,-
katkenud,A,2
katkestamatu,A,1
katkestamatult,D,-
katkestamatus,"S,S","11,9"
katkestama,V,27
katkestamine,S,12
katkesti,S,1
katkestus,S,11
katkevalt,D,-
katkev,A,2
katkevus,S,11
katki,D,-
katki jätma,V,35
katki jääma,V,37
katki kiskuma,V,28
katki lööma,V,38
katki minema,V,36
katkine,"A,A","12,10"
katki rebima,V,27
katki tegema,V,28
katki tõmbama,V,29
katk,S,22
katkuma,V,28
katkune,A,10
katkutõbi,S,21
katlakütja,S,1
katlamaja,S,17
katlaruum,S,22
katma,V,35
Katmandu,H,26
katmata,A,-
katmatu,A,1
katmatus,S,11
katmik,S,25
katmine,"S,S","12,10"
katoliiklane,"S,S","12,10"
katoliiklik,A,25
katoliiklus,"S,S","11,9"
katoliku,G,-
katolikuusuline,A,12
katolitsism,S,22
katood,S,22
Katri,H,1
Katrin,H,2
katseaeg,S,22
katsealune,A,10
katseanne,S,5
katsejänes,S,9
katse,S,6
katsekivi,S,17
katseklaas,S,22
katseks,D,-
katselaut,S,22
katseline,A,12
katseliselt,D,-
katsepõld,S,22
katsesarv,S,22
katseseade,S,5
katsetades,D,-
katsetaja,S,1
katsetama,V,27
katsetamine,S,12
katsetehas,S,9
katset tegema,V,28
katsetus,S,11
katsetustöö,S,26
katseväli,S,24
katsik,S,2
katsikutoit,S,22
katsiratsi,D,-
katsudes,D,-
katsuma,V,28
katsumus,S,11
katsumusrohke,A,1
katteallikas,S,2
Kattegat,H,22
kattekude,S,18
kattel,D,-
kattene,"A,A","12,10"
kattetulu,S,17
kattevari,S,24
kattev,A,2
katt,S,22
kattuma,V,27
kattumine,S,12
kattumus,S,11
kattuv,A,2
kattuvus,S,11
katusealune,A,10
katusehari,S,24
katusekamber,S,2
katusekivi,S,17
katusekorrus,S,9
katuselaast,S,22
katusepaar,S,22
katusepapp,S,22
katusepilbas,S,7
katus,S,9
katusorganisatsioon,S,22
katustama,V,27
katutus,S,11
katvus,"S,S","11,9"
kauaaegne,A,2
kaua,D,-
kauakestev,A,2
kauakestvalt,D,-
kauaks,D,-
kauane,A,10
kauaoodatud,A,2
kauapüsiv,A,2
kauaselt,D,-
kaubaauto,S,16
kaubabuss,S,22
kaubahall,S,22
kaubahärra,S,16
kaubakeskus,"S,S","11,9"
kaubakäive,S,6
kaubakäru,S,17
kaubaladu,S,18
kaubalaev,S,22
kaubalaud,S,22
kaubalisus,"S,S","11,9"
kaubamaja,S,17
kaubamees,S,13
kaubamärk,S,22
kaubandusettevõte,S,6
kaubandus,S,11
kaubanduskeskus,"S,S","11,9"
kaubanduskokkulepe,S,6
kaubanduslik,A,25
kaubandusmees,S,13
kaubandusministeerium,"S,S","19,2"
kaubanduspartner,S,2
kaubanduspind,S,22
kaubandustegelane,S,12
kaubandustingimus,S,11
kaubareisija,S,1
kaubarong,S,22
kaubasadam,S,2
kaubasaks,"S,S","23,22"
kaubasell,S,22
kaubastama,V,27
kaubastuma,V,27
kaubastu,S,1
kaubategemine,S,12
kaubatundja,S,1
kaubavahetus,S,11
kaubavalik,S,2
kaubeldav,A,2
kaubik,S,2
kaubitseja,S,1
kaubitsema,V,27
kaubitsemine,S,12
kauboi,S,26
kaude,D,-
kaudne,A,2
kaudravi,S,17
kaudselt,D,-
kaudsemalt,D,-
kaudsihitis,S,11
kaudu,K,-
kaudvalgustus,S,11
kauemaks,D,-
kauem,D,-
kauemini,D,-
kauem,C,2
kaugas,S,7
kauge,A,1
kaugeim,U,2
kaugeks jääma,V,37
kaugekõne,S,16
kaugelasuv,A,2
kaugel,D,-
kaugele,D,-
kaugelenägelik,A,25
kaugelenägevalt,D,-
kaugelenägev,A,2
kaugelenägevus,S,11
kaugelenägija,S,1
kaugeleulatuv,A,2
kaugelt,D,-
kaugeltki,D,-
kaugemalasuv,A,2
kaugemal,D,-
kaugemale,D,-
kaugemale minema,V,36
kaugemale viima,V,38
kaugemalolev,A,2
kaugemalolija,S,1
kaugemalseisev,A,2
kaugemalseisja,S,1
kaugemalt,D,-
kaugem,C,2
kaugendama,V,27
kaugenema,V,27
kaugenemine,S,12
kaugenev,A,2
kaugenägelik,A,25
kaugküte,S,6
kaugmine,"A,A","12,10"
kaugnägemine,S,12
kaugsõidukapten,S,2
kauguma,V,27
kaugune,"A,A","12,10"
kaugusel,K,-
kaugushüpe,S,6
kaugushüppaja,S,1
kaugus,"S,S","11,9"
kauguuendama,V,27
kaugõpe,S,6
kaugõppes,A,-
kauhti,D,-
kaukaasia,G,-
Kaukaasia,H,1
kaukaaslane,"S,S","12,10"
kaukajumal,S,2
kaukamees,S,13
kaukasuse,G,-
Kaukasus,H,9
kaunase,G,-
Kaunas,H,9
kauneim,U,2
kaunidus,S,11
kaunike,A,12
kaunikene,A,12
kaunikesti,D,-
kaunikõlaline,A,12
kaunilt,D,-
kaunim,C,2
kauninema,V,27
kaunis,D,-
kaunishing,S,22
kaunis,"A,A","5,7"
kaunistama,V,27
kaunistamine,S,12
kaunistav,A,2
kaunisti,D,-
kaunistus,S,11
kaunistuskunstnik,S,25
kaunisõnaline,A,12
kaunisõnaliselt,D,-
kaunitar,S,19
kaun,"S,S","23,22"
kaunvili,S,24
kaupa,K,-
kaupa sobitama,V,27
kaupa tegema,V,28
kaup,S,22
kaupleja,S,1
kauplema,V,30
kauplemine,S,12
kauplemissüsteem,S,22
kauplev,A,2
kauplusauto,S,16
kauplus,"S,S","11,9"
kaupmees,S,13
Kaupo,H,16
kauri,S,16
kaur,S,22
kausaalne,A,2
kausaalsus,"S,S","11,9"
kausatiiv,S,22
kausatiivne,A,2
kausike,S,12
kausikujuline,A,12
kausitaoline,"A,A","12,10"
kausitäis,S,14
kausjas,A,2
kauss,S,22
kaustik,S,2
kaustiline,A,12
kaust,S,22
kautsjon,S,2
kautšuk,S,2
kava,S,17
kavakindel,A,2
kavakindlalt,D,-
kavakindlus,"S,S","11,9"
kavakohaselt,D,-
kavalalt,D,-
kavalam,C,2
kavalasti,D,-
kavaldades,D,-
kavaldaja,S,1
kavaldamata,A,-
kavaldamatu,A,1
kavaldama,V,27
kavaldamine,S,12
kavaldamisi,D,-
kavaldus,S,11
kavaler,S,19
kavalerlik,A,25
kavalkaad,S,22
kaval,A,2
kavalpea,S,26
kavaluseta,A,-
kavalus,S,11
kavalust kasutama,V,27
kavandama,V,27
kavandamine,S,12
kavandatav,A,2
kavandatud,A,2
kavandatu,S,1
kavand,S,2
kavandlik,A,25
kavandus,S,11
kavapärane,A,10
kavapäraselt,D,-
kavapärasus,S,11
kavastik,S,25
kavatiin,S,22
kavatsema,V,27
kavatsetavasti,D,-
kavatsus,S,11
kavatsuslik,A,25
kavatsuslikkus,S,11
kavatsuslikult,D,-
kaverdama,V,27
kaver,S,2
kavern,S,22
kavernoosne,A,2
kebab,S,2
kebima,V,27
kebja,A,16
kebjakalt,D,-
keblakas,A,2
Keblaste,H,1
kebratšo,S,16
keder,S,24
kederluu,S,26
kedrid,S,16
kedrik,S,2
kedri,S,16
kedristõlvik,S,2
kedrus,S,9
keebjas,A,2
keede,S,6
keedik,A,2
keedis,S,9
keeduaparaat,S,22
keedukoda,S,18
keedukunst,S,22
keedupalav,A,2
keedus,S,9
keedutaigen,S,2
keeduvili,S,24
keefir,S,2
keegel,S,2
keeglimäng,S,22
keeks,S,22
keelaja,S,1
keelama,V,29
keelamine,S,12
keelates,D,-
keelatud,A,2
keelatu,S,1
keelavalt,D,-
keelav,A,2
keeld,S,22
keelduma,V,27
keeldumine,S,12
keeldumus,S,11
keelduv,A,2
keelealane,A,10
keelebarjäär,S,22
keeleinspektsioon,S,22
keelekandja,S,1
keelekandmine,"S,S","12,10"
keelekanne,S,6
keelekas,A,2
keelekas,S,2
keelekaste,S,6
keelekastmine,"S,S","12,10"
keelekasutus,S,11
keelekeskkond,S,22
keelekursus,"S,S","11,9"
keeleköidik,S,2
keelekümblema,V,30
keelekümblus,"S,S","11,9"
keeleküsimus,S,11
keeleline,A,12
keelelõksutamine,S,12
keelemees,S,13
keelemurre,S,6
keelendama,V,27
keelend,S,2
keelenõue,S,6
keeleoskaja,S,1
keeleoskus,"S,S","11,9"
keeleots,"S,S","23,22"
keelepael,"S,S","23,22"
keelepeksja,S,1
keelepeks,S,22
keelepeksmine,"S,S","12,10"
keeleprobleem,S,22
keelepruuk,S,22
keeleseadus,"S,S","11,9"
keelesepp,S,22
keelestama,V,27
keelestu,S,1
keeletark,S,22
keeleteadlane,"S,S","12,10"
keeleteadus,"S,S","11,9"
keeletemp,S,22
keeletoimetaja,S,1
keeletu,A,1
keeletuks jääma,V,37
keeletuks tegema,V,28
keeletuna,D,-
keeletundja,S,1
keeletunne,S,6
keeletus,S,11
keeleuurija,S,1
keelevahetus,S,11
keelevaist,S,22
keelevigur,S,2
keeleõpe,S,6
keeli,D,-
keelikas,S,2
keelik,S,2
keelitama,V,27
keelitamine,S,12
keeliti,D,-
keelitlema,V,27
keelitus,S,11
keeljas,A,2
keel,S,13
keelkond,S,22
keelne,A,2
keelpillikvartett,S,22
keelpill,S,22
keelsus,"S,S","11,9"
keelsuslane,S,12
keelteoskaja,S,1
keelt kandma,V,34
keelt peksma,V,32
keelt talitsema,V,27
keelt väänama,V,29
keeluala,S,17
keelualune,A,10
keelumärk,S,22
keelustaja,S,1
keelustama,V,27
keelustamine,S,12
keelustatud,A,2
keelustav,A,2
keelustus,S,11
keema,V,37
keemiakombinaat,S,22
keemia,S,1
keemiasaadus,"S,S","11,9"
keemiatehas,S,9
keemiatööstus,"S,S","11,9"
keemik,S,2
keemiline,A,12
keem,S,22
keenia,G,-
Keenia,H,1
keenialane,S,12
keenialanna,S,16
keenlane,S,12
keep,S,22
keerama,V,29
keeramine,S,12
keerang,S,2
keerasmik,S,25
keerd,S,22
keerdkäigustik,S,25
keerdkäik,S,22
keerdküsimus,S,11
keerdsõlm,S,22
keerdu,D,-
keerdudega,A,-
keerdu kiskuma,V,28
keerduma,V,27
keerdu minema,V,36
keerdumus,S,11
keerdus,D,-
keerdu tõmbuma,V,27
keerduv,A,2
keere,S,6
keere,S,5
keerem,C,2
keerenski,S,1
keerik,S,2
keeris,S,9
keeristorm,S,22
keerisviljak,S,2
keeritama,V,27
keeritis,S,11
keeritsjas,A,2
keerits,S,2
keeritsuss,S,22
keerlema,V,30
keerlev,A,2
keerlus,"S,S","11,9"
keermestama,V,27
keermestik,S,25
keermestus,S,11
keermetama,V,27
keermik,S,25
keerub,S,2
keerukaks minema,V,36
keerukaks tegema,V,28
keerukalt,D,-
keerukamaks minema,V,36
keerukam,C,2
keerukas,A,2
keerukuseta,A,-
keerukus,S,11
keeruline,A,12
keeruliseks muutuma,V,27
keeruliseks tegema,V,28
keeruliselt,D,-
keerulisemaks tegema,V,28
keerulisem,C,2
keerulisus,S,11
keerusai,S,22
keerustama,V,27
keerustuma,V,27
keerustus,S,11
keerutamata,A,-
keerutama,V,27
keerutamine,S,12
keerutamisi,D,-
keerutav,A,2
keerutis,S,11
keerutus,S,11
kee,S,26
keetel,S,2
keetev,A,2
keet,S,22
keetma,V,34
keetmine,S,12
keevaline,A,12
keevaliselt,D,-
keevalisus,S,11
keevavereline,A,12
keevis,S,9
keevitaja,S,1
keevitama,V,27
keevitatavus,"S,S","11,9"
keevituma,V,27
keevitus,S,11
keev,A,2
keev,A,22
keevus,"S,S","11,9"
kefaal,S,22
kefiir,S,22
kehaehitus,S,11
kehahoid,S,22
kehakaal,S,22
kehakas,A,2
kehakate,S,6
kehakeel,S,13
keha,S,17
kehake,S,12
keha kinnitama,V,27
kehakinnitamine,S,12
kehakinnitus,S,11
kehakinnitust võtma,V,35
kehakuju,S,17
kehakultuur,S,22
kehakultuurlane,"S,S","12,10"
kehalaad,S,22
kehaliige,S,5
kehalik,A,25
kehaline,A,12
kehaliselt,D,-
kehamaaling,S,2
kehand,S,2
kehaosa,S,17
kehaseis,S,22
kehasoojus,"S,S","11,9"
kehastama,V,27
kehastuma,V,27
kehastus,S,11
kehatemperatuur,S,22
kehatu,A,1
kehatus,S,11
kehavigastus,S,11
kehavorm,S,22
kehaväline,A,10
kehevil,D,-
kehevile,D,-
kehima,V,27
kehitama,V,27
kehitus,S,11
kehkadivei,S,26
kehkats,S,2
kehkenpüks,"S,S","23,22"
kehkjas,A,2
kehklema,V,30
kehkvel,D,-
kehkvele,D,-
Kehra,H,1
kehralane,S,12
kehralanna,S,16
kehtestama,V,27
kehtestamine,S,12
kehtestav,A,2
kehtestuma,V,27
kehtetu,A,1
kehtetuks muutuma,V,27
kehtetuks tunnistama,V,27
kehtetus,S,11
kehtetustama,V,27
kehtima hakkama,V,29
kehtimapanek,S,2
kehtima panema,V,36
kehtima,V,27
kehtimine,S,12
kehtivaks pidama,V,28
kehtiv,A,2
kehtiv olema,V,36
kehtivusaeg,S,22
kehtivus,S,11
kehtivust kaotama,V,27
Kehtna,H,1
kehutama,V,27
kehvalt,D,-
kehvapoolne,A,2
kehvasti,D,-
kehvavõitu,D,-
kehvemini,D,-
kehvem,C,2
kehvenema,V,27
kehvik,S,2
kehvikkond,S,22
kehviktalupoeg,S,22
kehvim,U,2
kehvistu,S,1
kehv,A,22
kehvtalupoeg,S,22
kehvuma,V,27
kehvune,"A,A","12,10"
kehvuses,D,-
kehvus,"S,S","11,9"
kehvveresus,S,11
keigar,S,2
keigarlik,A,25
Keila,H,1
Keila-Joa,H,26
Keisen,H,2
keiser,S,2
keiserlik,A,25
keisrihärra,S,16
keisrilkäik,S,22
keisrilõige,S,6
keisrinna,S,16
keisriproua,S,16
keiss,S,22
kekard,S,2
kekats,S,2
kekkama,V,29
kekk,A,22
keksama,V,29
keksilt,D,-
keksima,V,28
keks,A,22
keks,S,22
kekslema,V,30
keksti,D,-
kekstu,S,1
keksumäng,S,22
keku,A,16
kekutama,V,27
kekutis,S,11
Kelam,H,2
kelbemini,D,-
kelbem,C,2
kelder,S,2
keldrikorrus,S,9
keldrimüür,S,22
keldriruum,S,22
keldrisaal,S,22
kelgumägi,S,21
kelgusõit,S,22
kelgusõitu tegema,V,28
kelgutama,V,27
kelgutus,S,11
kelkides,D,-
kelkija,S,1
kelkima,V,28
kelkimisega,D,-
kelkivalt,D,-
kelkiv,A,2
kelk,S,22
kellaaeg,S,22
kella andma,V,34
kellahelin,S,2
kellaja,S,1
kellakõla,S,17
kellalööja,S,1
kella lööma,V,38
kellama,V,29
kellamees,S,13
kellanui,S,22
kellanupp,S,22
kellaosuti,S,1
kellapink,S,22
kellapomm,S,22
kellassepp,S,22
kellatorn,S,22
Kellavere,H,16
kellaviietee,S,26
kelletaoline,A,12
kell,S,22
kellukas,S,2
kelluke,S,12
kellukjas,A,2
kelluklane,S,12
kellu,S,16
kelme,S,6
kelmemoodusti,S,1
kelmikalt,D,-
kelmikas,A,2
kelmikus,S,11
kelmilt,D,-
kelminägu,S,18
kelmistuma,V,27
kelm,S,22
kelmlik,A,25
kelmlikult,D,-
kelmur,S,2
kelmus,"S,S","11,9"
kelmust tegema,V,28
kelmustükk,S,22
kelner,S,2
kelp,S,22
kelt,S,22
keltsane,A,10
kelts,S,22
Kemerovo,H,16
kemikaal,S,22
kemiseerimine,S,12
kemmerg,S,2
kemoteraapia,S,1
kempleja,S,1
kemplema,V,30
kemplemine,S,12
kemplus,"S,S","11,9"
kemps,S,22
kempsus käima,V,38
kenadus,S,11
kenaff,S,22
kenake,A,12
kenakene,A,12
kena,A,17
kenakesti,D,-
kenalt,D,-
kenastama,V,27
kenasti,D,-
kenastuma,V,27
kenitama,V,27
kenitlema,V,27
kenitlevalt,D,-
kenitlev,A,2
kenkadi,D,-
Kennedy,H,1
kennel,S,2
kenotaaf,S,22
kentaur,S,22
kentsakalt,D,-
kentsakas,A,2
kentsakus,S,11
Kentucky,H,16
kenus,D,-
kenuskael,"S,S","23,22"
kenuskaelne,A,2
kenusse,D,-
kenutama,V,27
Kenya,H,16
kepihirm,S,22
kepike,S,12
kepikõndima,V,28
kepinuhtlus,"S,S","11,9"
kepjas,A,2
keppima,V,28
kepp,S,22
kepsakas,A,2
kepsama,V,29
kepsatama,V,27
kepsatus,S,11
kepsel,S,2
kepsima,V,28
keps,S,22
kepslema,V,30
kepsti,D,-
kepsu lööma,V,38
kepsutama,V,27
kepsutus,S,11
keraamika,S,1
keraamik,S,2
keraamiline,A,12
kerajalt,D,-
kerajas,A,2
kerake,S,12
kera,S,17
kerakujuline,A,12
kerakujuliselt,D,-
keraline,A,12
keramsiit,S,22
keras,D,-
keraslane,S,12
keraslill,S,22
kerasparv,S,22
kerataoline,"A,A","12,10"
keratiin,S,22
keratiit,S,22
kerekas,A,2
kere,S,16
Kerekunna,H,16
kerenumber,S,2
Keres,H,9
keretäis,S,14
keretäit andma,V,34
kergakas,A,2
kergats,S,2
kergatslik,A,25
kerge,A,1
kergefaktoid,S,22
kergejõustik,S,25
kergejõustiklane,S,12
kergejõustiklanna,S,16
kergejõustikuhall,S,22
kergejõustikuveteran,S,19
kergejõustikuvõistlus,"S,S","11,9"
kergekaal,S,22
kergekaallane,"S,S","12,10"
kergekaaluline,A,12
kergekaalulisus,"S,S","11,9"
kergeke,A,12
kerge,S,6
kergekujuline,A,12
kergekuulipilduja,S,1
kergekäeline,"A,A","12,10"
kergekäeliselt,D,-
kergekäelisus,S,11
kergelt,D,-
kergemaks minema,V,36
kergemaks tegema,V,28
kergemalt,D,-
kergemeelne,A,2
kergemeelselt,D,-
kergemeelsus,"S,S","11,9"
kergemini,D,-
kergem,C,2
kergendama,V,27
kergendamine,S,12
kergendatult,D,-
kergendav,A,2
kergendunult,D,-
kergendus,S,11
kergendustundega,D,-
kergendustunne,S,6
kergenema,V,27
kergesisuline,A,12
kergesti,D,-
kergestisüttiv,A,2
kergetööstus,"S,S","11,9"
kergeusklik,A,25
kergeusklikkus,"S,S","11,9"
kergeusklikult,D,-
kergitama,V,27
kergitamine,S,12
kergitus,S,11
kerglane,"A,A","12,10"
kerglus,"S,S","11,9"
kergune,"A,A","12,10"
kergus,"S,S","11,9"
kergustunne,S,6
kerilaud,S,22
kerima,V,27
keris,S,9
kerjaja,S,1
kerjakepp,S,22
kerjakott,S,22
kerjama,V,29
kerjamine,S,12
kerjav,A,2
kerjusekepp,S,22
kerjus,"S,S","11,9"
kerjuslik,A,25
kerjuslikult,D,-
kerjusmunk,S,22
kerkima panema,V,36
kerkimas,D,-
kerkima,V,27
kerkimine,S,12
kerkiv,A,2
kerkne,A,2
kerkvel,D,-
kerkvele,D,-
kernel,S,2
Kernu,H,16
kerra,D,-
kerratõmbunud,A,2
kerratõmbunult,D,-
kerss,S,22
Kersti,H,16
Kert,H,22
Kerttu,H,16
Kertu,H,16
kesa,S,17
kesalesk,S,22
kesamaa,S,26
kesamüts,S,22
kesanaine,S,12
kesanoorik,S,2
kesanurm,S,22
kesapõld,S,22
kese,S,5
keset,K,-
kesik,S,2
kesine,A,10
keskaeg,S,22
keskaegne,A,2
keskaste,S,5
keskasutus,S,11
keskealine,"A,A","12,10"
keskel,D,-
keskele,D,-
keskele,K,-
keskel,K,-
keskelt,D,-
keskelt,K,-
keskeltläbi,D,-
keskendamatus,S,11
keskendama,V,27
keskendatud,A,2
keskendatult,D,-
keskendatus,S,11
keskenduma,V,27
keskendumine,S,12
keskendumus,S,11
keskendunud,A,2
keskendunult,D,-
keskendus,S,11
keskene,"A,A","12,10"
keskenema,V,27
keskerakond,S,22
keskerakondlane,"S,S","12,10"
keskeri,G,-
keskfraktsioon,S,22
keskhaigla,S,1
keskharidus,S,11
keskhommik,S,2
keskiga,S,18
keskjaam,S,22
keskjooks,S,22
keskjoondama,V,27
kesk,K,-
keskkaal,S,22
keskkiht,S,22
keskklass,S,22
keskkoht,S,22
keskkomisjon,S,19
keskkomitee,S,26
keskkond,S,22
keskkondlik,A,25
keskkondlikkus,"S,S","11,9"
keskkonnaamet,S,2
keskkonnaekspertiis,S,22
keskkonnafond,S,22
keskkonnaharidus,S,11
keskkonnahoidlik,A,25
keskkonnainspektsioon,S,22
keskkonnakaitse,S,6
keskkonnakaitseline,A,12
keskkonnakaitsja,S,1
keskkonnakeskus,"S,S","11,9"
keskkonnaküsimus,S,11
keskkonnaministeerium,"S,S","19,2"
keskkonnaminister,S,2
keskkonnaohtlikkus,"S,S","11,9"
keskkonnaosakond,S,22
keskkonnaprobleem,S,22
keskkonnaprojekt,S,22
keskkonnaruum,S,22
keskkonnaseadus,"S,S","11,9"
keskkonnaspetsialist,S,22
keskkoolilõpetaja,S,1
keskkoolitüdruk,S,2
keskkooliõpilane,S,12
keskkool,S,22
keskkriminaalpolitseinik,S,25
keskkriminaalpolitsei,S,26
keskkurss,S,22
keskküte,S,6
keskliit,S,22
kesklinn,S,22
keskmaa,G,-
keskmaajooksja,S,1
keskmaamees,S,13
keskmees,S,13
keskmik,S,25
keskmine,"A,A","12,10"
keskmiselt,D,-
keskmäestik,S,25
keskmängija,S,1
keskne,A,2
kesknädaliti,D,-
kesknädal,S,2
keskorganisatsioon,S,22
keskosa,S,17
keskpaigas,D,-
keskpaik,S,22
keskpaiku,D,-
keskpank,S,22
keskpunkt,S,22
keskpäevaeine,S,6
keskpäevane,A,10
keskpäeviti,D,-
keskpäev,S,22
keskpära,S,17
keskpärane,A,10
keskpärasus,S,11
keskraamatukogu,S,17
kesksugu,S,18
kesksõna,S,17
kesktee,S,26
kesktormaja,S,1
keskturg,S,22
keskur,S,2
keskus,"S,S","11,9"
keskustelu,S,17
keskustlema,V,27
keskuurimisbüroo,S,26
keskvalitsus,S,11
keskvangla,S,1
keskvõim,S,22
keskvõimu vähendama,V,27
keskvõrre,S,6
keskväli,S,24
keskväljak,S,2
kesköine,A,10
kesköö,S,26
kesköötund,S,22
kess,S,22
kessoon,S,22
kesta ajama,V,27
kestahes,D,-
kestal olema,V,36
kes-ta-nd-oligi,D,-
kestane,A,10
kestel,K,-
kestendama,V,27
kestendav,A,2
kestendus,S,11
kestes,D,-
kestev,A,2
kestjas,A,2
kest,S,22
kestma,V,34
kestmine,S,12
kestus,"S,S","11,9"
kestvalt,D,-
kestvusetus,S,11
kestvus,"S,S","11,9"
kesvamärg,A,22
kesvamärjuke,S,12
kesvane,A,10
kesv,S,22
keta,S,16
ketas,S,7
ketaslane,S,12
ketendama,V,27
ketendav,A,2
ketistama,V,27
ketitama,V,27
ketjas,A,2
ketrama,V,29
ketrus,"S,S","11,9"
ketser,S,2
ketserlus,S,11
kets,S,22
ketšua,S,1
ketšup,S,2
kettaheide,S,6
kettakujuline,A,12
kettakujuliselt,D,-
kettima,V,28
ketti panema,V,36
kett,S,22
kett,S,22
ketukas,S,2
ketul,D,-
ketune,A,10
kevade,S,1
kevadeti,D,-
kevadik,S,25
kevadine,A,12
kevaditi,D,-
kevad,S,2
kevadmantel,S,2
kevadpäev,S,22
kevadpüha,S,17
kevadsuvi,S,20
kevadõhtu,S,1
Kevin,H,2
kevlar,S,2
khaan,S,22
khaki,S,16
khmeer,S,22
khmm,I,-
kibedalt,D,-
kibedana,D,-
kibedasti,D,-
kibedik,S,25
kibedus,S,11
kibedustunne,S,6
kibehapu,A,16
kibejas,A,2
kibekas,A,2
kibe,S,2
kibekiire,A,6
kibekiirelt,D,-
kibekiiresti,D,-
kibekähku,D,-
kibelema,"V,V","31,27"
kibelemine,S,12
kibelemisi,D,-
kibelus,S,11
kibemeeli,D,-
kibemeel,S,13
kibendus,S,11
kiber,S,24
kibestama,V,27
kibestuma,V,27
kibestumusega,D,-
kibestumus,"S,S","11,9"
kibestunult,D,-
kibestus,S,11
kibin,S,2
kibisema,V,27
kibitka,S,16
kibrutama,V,27
kibrutus,S,11
kibu,S,17
kibuts,S,2
kibuvits,"S,S","23,22"
kidajas,A,2
kidakeelne,A,2
kidakeelselt,D,-
kidakeelsus,"S,S","11,9"
kida,S,17
kidaline,A,12
kidaratas,S,7
kiderik,A,25
kiderikkus,S,11
kiderikult,D,-
kidevus,S,11
kidin,S,2
kidnäppama,V,29
kidra,S,16
kidulumi,S,20
kiduma,V,27
kidumus,S,11
kidunema,V,27
kiduraks jääma,V,37
kiduralt,D,-
kiduravõitu,D,-
kidurik,A,25
kidur,A,2
kidurus,S,11
kidu,S,17
kiduvalt,D,-
kiduv,A,2
kiduvus,S,11
Kiel,H,22
Kigali,H,1
kiginal,D,-
kiginal-käginal,D,-
kigin,S,2
kigisema,V,27
kiha,S,17
kihama,V,27
kihamine,S,12
kiharas,D,-
kiharduma,V,27
kihar,S,2
kihelema,"V,V","31,27"
kihelkond,S,22
Kihelkonna,H,16
kihelkonnakool,S,22
kihelkonniti,D,-
kihelus,S,11
kiherduma,V,27
kihermed,S,1
kihevil,D,-
kihevile,D,-
kihiline,A,12
kihiliselt,D,-
kihind,S,2
kihin,S,2
kihisema,V,27
kihisev,A,2
kihistama,V,27
kihistik,S,25
kihistis,S,11
kihistumatus,"S,S","11,9"
kihistuma,V,27
kihistumus,"S,S","11,9"
kihistu,S,1
kihistus,S,11
kihitama,V,27
kihiti,D,-
kihitine,A,12
kihituma,V,27
kihitus,S,11
kihk,S,22
kihku-kähku,D,-
kihkvel,D,-
kihkvele,D,-
kihkvele sattuma,"V,V","28,27"
kihlama,V,29
kihlatud,A,2
kihlatu,S,1
kihla vedama,V,28
kihla,X,-
kihl,S,22
kihluma,V,27
kihlus,"S,S","11,9"
kihlvedu,S,18
kihlvedu sõlmima,V,28
kihnik,S,2
kihn,S,22
kihnlane,"S,S","12,10"
kihnlanna,S,16
kihnu,G,-
Kihnu,H,16
kihtidena,D,-
kihtidena laduma,V,28
kihtimisi,D,-
kiht,S,22
kihujas,A,2
kihuke,A,12
kihu,S,17
kihulane,S,12
kihutaja,S,1
kihutama,V,27
kihutamine,S,12
kihutav,A,2
kihutusel,D,-
kihutus,S,11
kihutuskõneleja,S,1
kihutuskõne,S,16
kihutust tegema,V,28
kihutustöö,S,26
kihva keerama,V,29
kihvamees,S,13
kihvatama,V,27
kihvatus,S,11
kihv,S,22
kihvtilt,D,-
kihvtine,A,10
kihvtiselt,D,-
kihvtitama,V,27
kihvt,S,22
kiibakas,A,2
kiibistama,V,27
kiibistik,S,25
kiibitsema,V,27
kiide,S,6
kiideldes,D,-
kiidetav,S,2
kiiduavaldus,S,11
kiidujutt,S,22
kiidukukk,S,22
kiidukõne,S,16
kiidulaul,S,22
kiidus,S,9
kiidusõna,S,17
kiidutorm,S,22
kiiduväärne,A,2
kiiduväärt,D,-
kiievi,G,-
Kiiev,H,2
kiievlane,S,12
kiiga-kääga,I,-
kiigats,S,2
kiige,S,6
kiigeline,S,12
kiigessepp,S,22
kiigutama,V,27
kiigutus,S,11
kiikama,V,29
kiiker,S,2
kiiking,S,2
kiik,S,22
kiiksatama,V,27
kiiksatus,S,11
kiiks,S,22
kiiksudes,D,-
kiiksuma,V,28
kiiksumine,S,12
kiiksutama,V,27
kiiksutus,S,11
kiiktool,S,22
kiikuja,S,1
kiikuma,V,28
kiikumine,S,12
kiikvel,D,-
kiikvele,D,-
kiilakaks ajama,V,27
kiilakas,S,2
kiilak,S,2
kiilaks ajama,V,27
kiilama,V,29
kiilam,C,2
kiilanema,V,27
kiilasjää,S,26
kiilas,A,7
kiilaspea,S,26
kiilaspäine,A,10
